batchIndex,immutableKey,brand,productName,size,format,sku,removedSharedSourcePage,officialDomains,variantSpecificSearchQuery,requiredResolution,targetJpgPath
18403,us:seroyal-genestra-hlc-replenish-capsules-5aa3c0a2:1,Seroyal/Genestra,HLC Replenish Capsules,41.09,Capsules,,https://www.seroyal.com/hlc-replenish-capsules-us.html/,seroyal.com,"""Seroyal/Genestra"" ""HLC Replenish Capsules"" ""41.09"" ""Capsules"" official product bottle package",UNIQUE_EXACT_PRODUCT_PACKAGE_IMAGE,assets/product-images/catalogue-v28/93760718bb49627c5e299776.jpg
18404,us:seroyal-genestra-hlu-5773ba84:0,Seroyal/Genestra,HLU,1 fl oz,Liquid,,https://www.seroyal.com/hlu-liquid-us.html/,seroyal.com,"""Seroyal/Genestra"" ""HLU"" ""1 fl oz"" ""Liquid"" official product bottle package",UNIQUE_EXACT_PRODUCT_PACKAGE_IMAGE,assets/product-images/catalogue-v28/27711baf5247afcaedf8ddc4.jpg
18405,us:seroyal-genestra-hlu-liquid-a478c341:0,Seroyal/Genestra,HLU Liquid,1 fl oz,Liquid,,https://www.seroyal.com/hlu-liquid-us.html/,seroyal.com,"""Seroyal/Genestra"" ""HLU Liquid"" ""1 fl oz"" ""Liquid"" official product bottle package",UNIQUE_EXACT_PRODUCT_PACKAGE_IMAGE,assets/product-images/catalogue-v28/74716e111680824870b46ff1.jpg
18406,us:seroyal-genestra-hmf-baby-b-fd45e07d:0,Seroyal/Genestra,HMF Baby B,6g,Powder,,https://www.seroyal.com/hmf-baby-b-us.html/,seroyal.com,"""Seroyal/Genestra"" ""HMF Baby B"" ""6g"" ""Powder"" official product bottle package",UNIQUE_EXACT_PRODUCT_PACKAGE_IMAGE,assets/product-images/catalogue-v28/8a87f61f1cc1451528d80938.jpg
18408,us:seroyal-genestra-hmf-baby-f-c94834dd:0,Seroyal/Genestra,HMF Baby F,66g,Powder,,https://www.seroyal.com/hmf-baby-f-us.html/,seroyal.com,"""Seroyal/Genestra"" ""HMF Baby F"" ""66g"" ""Powder"" official product bottle package",UNIQUE_EXACT_PRODUCT_PACKAGE_IMAGE,assets/product-images/catalogue-v28/e0304352fb5c631ac3ff0581.jpg
18410,us:seroyal-genestra-hmf-bifido-capsules-e478c8a4:0,Seroyal/Genestra,HMF Bifido Capsules,30,Capsules,,https://www.seroyal.com/hmf-bifido-capsules-1.html/,seroyal.com,"""Seroyal/Genestra"" ""HMF Bifido Capsules"" ""30"" ""Capsules"" official product bottle package",UNIQUE_EXACT_PRODUCT_PACKAGE_IMAGE,assets/product-images/catalogue-v28/7508024009089396cb89e7c1.jpg
18411,us:seroyal-genestra-hmf-bifido-capsules-e478c8a4:1,Seroyal/Genestra,HMF Bifido Capsules,30 caps,Capsules,,https://www.seroyal.com/hmf-bifido-capsules-1.html/,seroyal.com,"""Seroyal/Genestra"" ""HMF Bifido Capsules"" ""30 caps"" ""Capsules"" official product bottle package",UNIQUE_EXACT_PRODUCT_PACKAGE_IMAGE,assets/product-images/catalogue-v28/4dd530ed38c0e514d00ff493.jpg
18412,us:seroyal-genestra-hmf-capsules-0eeff5b1:0,Seroyal/Genestra,HMF Capsules,60 caps,Capsules,,https://www.seroyal.com/hmf-capsules-1.html/,seroyal.com,"""Seroyal/Genestra"" ""HMF Capsules"" ""60 caps"" ""Capsules"" official product bottle package",UNIQUE_EXACT_PRODUCT_PACKAGE_IMAGE,assets/product-images/catalogue-v28/7de8a345e03d5a170c984a34.jpg
18413,us:seroyal-genestra-hmf-capsules-0eeff5b1:1,Seroyal/Genestra,HMF Capsules,60,Capsules,,https://www.seroyal.com/hmf-capsules-1.html/,seroyal.com,"""Seroyal/Genestra"" ""HMF Capsules"" ""60"" ""Capsules"" official product bottle package",UNIQUE_EXACT_PRODUCT_PACKAGE_IMAGE,assets/product-images/catalogue-v28/bb7e9a0595f7718fce766497.jpg
18414,us:seroyal-genestra-hmf-child-7060f59e:0,Seroyal/Genestra,HMF Child,30 chewables,Tablets,,https://www.seroyal.com/hmf-child-1.html/,seroyal.com,"""Seroyal/Genestra"" ""HMF Child"" ""30 chewables"" ""Tablets"" official product bottle package",UNIQUE_EXACT_PRODUCT_PACKAGE_IMAGE,assets/product-images/catalogue-v28/05cc9cdf73e6ed3dc973ef11.jpg
18415,us:seroyal-genestra-hmf-child-7060f59e:1,Seroyal/Genestra,HMF Child,30,,,https://www.seroyal.com/hmf-child-1.html/,seroyal.com,"""Seroyal/Genestra"" ""HMF Child"" ""30"" official product bottle package",UNIQUE_EXACT_PRODUCT_PACKAGE_IMAGE,assets/product-images/catalogue-v28/fc8c3bdbdbd750d8b6378dfc.jpg
18416,us:seroyal-genestra-hmf-fit-for-school-ad03e796:0,Seroyal/Genestra,HMF Fit For School,30 chewables,Tablets,,https://www.seroyal.com/hmf-fit-for-school-1.html/,seroyal.com,"""Seroyal/Genestra"" ""HMF Fit For School"" ""30 chewables"" ""Tablets"" official product bottle package",UNIQUE_EXACT_PRODUCT_PACKAGE_IMAGE,assets/product-images/catalogue-v28/cab56753b3507a862770041b.jpg
18417,us:seroyal-genestra-hmf-fit-for-school-ad03e796:1,Seroyal/Genestra,HMF Fit For School,30,,,https://www.seroyal.com/hmf-fit-for-school-1.html/,seroyal.com,"""Seroyal/Genestra"" ""HMF Fit For School"" ""30"" official product bottle package",UNIQUE_EXACT_PRODUCT_PACKAGE_IMAGE,assets/product-images/catalogue-v28/a45797463e8fd906363fa458.jpg
18418,us:seroyal-genestra-hmf-forte-9f2935fe:0,Seroyal/Genestra,HMF Forte,25.5,,,https://www.seroyal.com/hmf-forte-1.html/,seroyal.com,"""Seroyal/Genestra"" ""HMF Forte"" ""25.5"" official product bottle package",UNIQUE_EXACT_PRODUCT_PACKAGE_IMAGE,assets/product-images/catalogue-v28/f7bbe7195a5aacb913745762.jpg
18419,us:seroyal-genestra-hmf-forte-9f2935fe:1,Seroyal/Genestra,HMF Forte,45.79,,,https://www.seroyal.com/hmf-forte-1.html/,seroyal.com,"""Seroyal/Genestra"" ""HMF Forte"" ""45.79"" official product bottle package",UNIQUE_EXACT_PRODUCT_PACKAGE_IMAGE,assets/product-images/catalogue-v28/d1ef480859a385bcd9454703.jpg
18420,us:seroyal-genestra-hmf-forte-9f2935fe:2,Seroyal/Genestra,HMF Forte,60,,,https://www.seroyal.com/hmf-forte-1.html/,seroyal.com,"""Seroyal/Genestra"" ""HMF Forte"" ""60"" official product bottle package",UNIQUE_EXACT_PRODUCT_PACKAGE_IMAGE,assets/product-images/catalogue-v28/e822199bd84cec8e911895f9.jpg
18421,us:seroyal-genestra-hmf-forte-9f2935fe:3,Seroyal/Genestra,HMF Forte,120,,,https://www.seroyal.com/hmf-forte-1.html/,seroyal.com,"""Seroyal/Genestra"" ""HMF Forte"" ""120"" official product bottle package",UNIQUE_EXACT_PRODUCT_PACKAGE_IMAGE,assets/product-images/catalogue-v28/4d72ffd739be0cb1a0891b0c.jpg
18422,us:seroyal-genestra-hmf-immune-602beaaa:0,Seroyal/Genestra,HMF Immune,30 caps,Capsules,,https://www.seroyal.com/hmf-immune-1.html/,seroyal.com,"""Seroyal/Genestra"" ""HMF Immune"" ""30 caps"" ""Capsules"" official product bottle package",UNIQUE_EXACT_PRODUCT_PACKAGE_IMAGE,assets/product-images/catalogue-v28/77499f00f0e74f87154d67a9.jpg
18423,us:seroyal-genestra-hmf-immune-602beaaa:1,Seroyal/Genestra,HMF Immune,30,,,https://www.seroyal.com/hmf-immune-1.html/,seroyal.com,"""Seroyal/Genestra"" ""HMF Immune"" ""30"" official product bottle package",UNIQUE_EXACT_PRODUCT_PACKAGE_IMAGE,assets/product-images/catalogue-v28/49d5d94776192af6b6c50b02.jpg
18424,us:seroyal-genestra-hmf-intensive-25-shelf-stable-e18c5249:0,Seroyal/Genestra,HMF Intensive 25 (shelf-stable),25,,,https://www.seroyal.com/hmftm-intensive-shelf-stable.html/,seroyal.com,"""Seroyal/Genestra"" ""HMF Intensive 25 (shelf-stable)"" ""25"" official product bottle package",UNIQUE_EXACT_PRODUCT_PACKAGE_IMAGE,assets/product-images/catalogue-v28/0c747d59da9cb98af182d95a.jpg
